客场队名,主场队名,客场胜,客场负,主场胜,主场负
0,28,39,17,22,35
0,68,1,1,1,1
0,68,3,2,2,3
0,89,41,18,40,22
0,117,0,0,0,0
0,201,6,3,8,1
1,15,5,1,2,3
1,69,7,1,5,3
1,111,8,2,3,6
2,35,3,1,1,3
2,56,11,9,12,9
2,63,21,15,14,24
2,84,1,0,0,1
2,196,30,22,19,34
2,203,34,26,47,14
3,17,33,27,24,36
3,50,8,11,5,15
3,64,27,25,29,24
3,71,42,32,32,41
3,99,1,2,2,1
3,99,44,32,40,36
3,120,9,15,20,4
3,183,9,14,16,9
4,18,42,28,24,44
4,65,6,2,7,1
5,115,27,22,15,36
5,157,25,19,9,38
5,178,16,11,16,13
5,192,39,38,41,36
6,34,34,39,37,35
6,74,21,22,24,18
6,102,19,19,18,18
6,186,25,25,36,17
7,0,8,34,29,14
7,14,17,63,29,51
7,89,6,8,10,4
7,117,7,16,16,8
7,159,8,28,14,20
7,187,8,41,26,24
8,48,17,32,26,26
8,97,13,21,7,28
9,23,24,52,48,29
10,71,6,12,10,10
10,141,25,40,41,25
10,176,16,31,27,21
11,4,0,1,1,0
11,4,33,21,33,20
11,65,10,7,15,4
11,72,39,24,48,12
11,100,33,22,33,21
11,107,1,3,1,3
11,191,46,26,50,21
12,38,28,11,11,31
12,59,2,1,0,2
12,66,11,3,9,6
12,164,19,9,12,20
12,171,44,18,25,37
13,46,3,1,1,3
13,67,2,0,0,2
13,95,42,21,24,42
13,109,46,23,33,37
13,144,1,3,3,1
14,0,12,24,24,12
14,82,17,29,31,14
14,96,26,50,20,56
14,138,4,6,6,4
14,187,5,9,5,9
15,41,8,22,15,12
15,90,21,35,33,23
15,118,4,13,13,3
15,146,16,28,25,18
16,23,17,28,26,19
16,49,18,30,30,15
16,49,3,10,8,3
16,168,0,4,1,3
16,175,5,12,7,9
16,182,0,6,2,3
17,43,24,38,21,41
17,85,19,27,33,13
17,134,25,44,23,47
17,141,2,4,4,3
18,25,14,25,15,25
18,25,19,30,17,32
18,32,17,26,21,21
18,44,25,44,30,38
