客场队名,主场队名,客场胜,客场负,主场胜,主场负,客场比分,主场比分
180,138,0,1,0,0,128,132
145,138,0,1,1,0,91,109
187,138,2,2,2,1,109,115
131,138,2,2,3,1,78,85
138,14,4,1,1,5,97,102
138,61,4,2,1,5,109,102
138,47,5,2,3,4,122,117
47,138,4,8,7,4,125,119
138,152,7,5,11,2,89,117
103,138,7,6,7,6,106,89
138,180,7,7,3,10,101,111
138,187,7,8,6,9,111,116
138,110,7,9,4,12,104,94
201,138,14,2,8,9,118,98
159,138,8,9,8,10,107,101
138,117,8,11,13,7,109,114
138,173,8,12,16,4,100,105
82,138,15,8,8,14,106,84
110,138,6,18,8,16,99,108
138,124,9,16,13,14,95,96
180,138,12,15,9,17,121,112
138,166,9,18,5,20,117,109
124,138,15,14,10,18,102,109
138,89,13,20,21,12,90,110
152,138,28,11,15,22,115,110
145,138,13,24,15,23,112,122
21,138,16,22,17,23,108,110
201,138,37,7,19,24,113,102
131,138,28,19,19,27,81,96
28,138,19,28,20,27,94,100
0,138,34,14,21,27,90,101
103,138,30,22,22,28,114,116
194,138,33,23,24,29,89,102
40,138,40,14,26,29,115,93
68,138,34,23,26,30,95,79
138,110,26,31,13,46,123,126
138,40,27,33,44,15,103,107
138,54,27,34,31,30,117,125
110,138,17,50,29,36,77,100
173,138,47,20,30,37,112,106
138,159,30,38,33,33,97,108
138,201,30,40,56,13,96,111
138,180,30,41,37,34,112,131
138,117,32,42,48,24,114,115
138,187,32,43,41,33,91,110
138,124,33,44,45,32,108,87
152,138,55,22,34,44,87,95
138,103,35,45,49,31,111,134
146,139,0,0,0,0,105,86
1,139,1,0,0,1,91,99
48,139,1,0,1,1,78,92
139,160,2,2,1,3,91,102
139,153,2,4,4,4,90,97
83,139,8,1,2,6,106,111
90,139,7,3,3,6,117,109
22,139,9,4,5,9,94,91
118,139,15,3,6,11,120,109
167,139,6,14,6,12,90,93
132,139,12,8,7,12,101,119
139,167,8,12,7,15,106,114
118,139,19,5,8,13,119,116
139,104,8,14,15,11,109,101
160,139,12,15,10,14,96,102
139,118,11,15,22,7,87,110
146,139,19,10,11,17,97,104
139,160,12,17,14,19,106,104
139,55,14,18,21,15,83,105
139,97,14,20,8,28,120,100
188,139,22,15,15,20,110,92
139,167,17,21,14,27,115,89
41,139,22,19,18,21,105,103
29,139,19,24,18,22,120,98
139,132,18,23,21,22,92,99
111,139,22,24,18,24,97,93
139,195,18,25,11,34,101,92
167,139,17,30,19,26,108,111
195,139,12,37,20,28,102,87
139,153,20,30,32,20,112,120
104,139,30,25,21,33,97,112
139,104,22,33,30,26,84,123
174,139,32,26,22,35,112,103
202,139,42,16,22,37,120,99
139,174,22,39,35,28,94,104
139,181,22,40,32,31,96,99
202,139,49,16,23,42,107,101
140,161,0,0,0,0,87,85
189,140,0,1,1,0,104,94
140,147,1,1,2,0,114,110
140,168,2,1,0,3,92,94
9,140,2,2,2,2,96,106
140,154,3,2,1,4,77,101
105,140,3,3,3,3,107,101
140,112,4,4,5,3,106,98
35,140,6,3,6,5,93,102
140,105,7,5,6,6,91,102
112,140,5,6,7,6,85,96
105,140,8,7,8,6,105,106
23,140,8,8,9,6,92,103
140,16,10,7,6,13,104,97
140,35,11,7,11,6,109,102
140,84,14,7,14,5,97,95
140,91,15,7,8,13,85,99
196,140,5,18,16,8,96,103
140,168,17,8,7,17,127,131
154,140,12,14,18,9,118,115
140,133,18,10,15,14,94,83
56,140,14,15,19,10,89,96
42,140,14,14,20,10,83,101
147,140,25,7,21,10,94,115
140,147,22,10,26,8,89,115
189,140,22,10,22,11,94,87
140,105,23,12,22,16,105,116
84,140,24,12,23,13,92,75
140,203,23,14,30,11,88,95
140,196,23,15,13,26,116,112
119,140,33,9,25,15,99,104
140,2,26,15,25,16,87,103
140,30,26,16,22,19,102,109
175,140,19,26,28,17,97,100
161,140,16,31,29,17,93,113
140,119,30,18,36,12,98,119
182,140,28,25,30,21,116,107
